TC,TC_Description,TC_Main_Category,TC_Sub_Category
AUN0,FI-AA Asset Summary,FI,Basic Functions
AUN1,FI-AA Asset Summary,FI,Basic Functions
AUN10,FI-AA Asset Summary,FI,Basic Functions
AUN11,FI-AA Asset Summary,FI,Basic Functions
AUN2,FI-AA Asset Summary,FI,Basic Functions
AUN3,FI-AA Asset Summary,FI,Basic Functions
AUN4,FI-AA Asset Summary,FI,Basic Functions
AUN5,FI-AA Asset Summary,FI,Basic Functions
AUN6,FI-AA Asset Summary,FI,Basic Functions
AUN7,FI-AA Asset Summary,FI,Basic Functions
AUN8,FI-AA Asset Summary,FI,Basic Functions
AUN9,FI-AA Asset Summary,FI,Basic Functions
AUT01,Configuration of Logging,Logistics,Electronic Data Records
AUT03,Display Configuration,Logistics,Electronic Data Records
AUT04,Configuration of Long Text Logs,Logistics,Electronic Data Records
AUT05,Deletion of Long Texts,Logistics,Electronic Data Records
AUT10,Evaluation of Audit Trail,Logistics,Electronic Data Records
AUVA,FI-AA Incomplete Assets,FI,Basic Functions
AW01,Asset Explorer,FI,Basic Functions
AW01N,Asset Explorer,FI,Basic Functions
AXPD,Progress Tracking Evaluations,Project Systems,Progress Tracking
B1B2,Create Magnetic Media files,Personnel Mgmt,Canada
BA10,Subsystem Configuration,Cross Application,Transceiver
BALA,ALE Application menu,Cross Application,ALE Business Process Library
BALD,ALE Development,Basis,ALE Integration Technology
BALE,Area Menu for Administration,Basis,ALE Integration Technology
BALM,ALE Master data,Cross Application,ALE Business Process Library
BAPI,BAPI Explorer,Basis,BAPI Tools (for BAPIs see Note 813411)
BAPI45,BAPI Browser,Basis,Business Object Builder
BAPIW,BAPI Explorer,Basis,BAPI Tools (for BAPIs see Note 813411)
BAUP,Bank Data Transfer,Cross Application,Bank
BBPS,EBP Order Status Tracking,MM,Materials Management
BC15,No. Range Maint.: BP_PARTNR Partner,Cross Application,Business Partner Enhancements for Financial Services
BCA0,BP: Business Partner - Applic.Cust.,Cross Application,Business Partner Enhancements for Financial Services
BCABA,BC ABAP Programming,Basis,Syntax; Compiler; Runtime
BCG7,Bar chart: Call model graphic,Basis,Graphic
BD10,Send Material,Logistics,Material Master
BD100,IDoc display object channel view,Basis,ALE Integration Technology
BD101,Consistency check,Basis,ALE Integration Technology
BD11,Get Material,Logistics,Material Master
BD12,Send customer,Logistics,Business Partners
BD13,Get customer,Logistics,Business Partners
BD14,Send vendor,Logistics,Vendor Master
BD15,Open vendor,Logistics,Vendor Master
BD16,Send Cost Center,CO,Cost Center Accounting
BD17,Get Cost Center,CO,Cost Center Accounting
BD18,Send General Ledger Account,CO,Cost Center Accounting
BD19,Get General Ledger Account,FI,Basic Functions
BD20,IDoc passed to application,Basis,ALE Integration Technology
BD21,Select change pointer,Basis,ALE Integration Technology
BD22,Delete change pointers,Basis,ALE Integration Technology
BD23,Delete serialization data,Basis,ALE Integration Technology
BD24,Send Cost Elements,CO,Overhead Cost Controlling
BD25,Send Activity Type,CO,Cost Center Accounting
BD26,Get Activity Type,CO,Cost Center Accounting
BD27,Send cost center activity prices,CO,Overhead Cost Controlling
BD28,Send obj/cost element control data,CO,Overhead Cost Controlling
BD30,Distribute material object list,Logistics,Bills of Material
BD31,Distribute document object list,Logistics,Bills of Material
BD32,Distribute plant allocations(matBOM),Logistics,Bills of Material
BD33,Distribute material variants (ALE),Logistics,Bills of Material
BD34,Distribute order BOM,Logistics,Bills of Material
BD35,Send Business Process Groups,CO,Activity-Based Costing
BD36,Send Business Processes,CO,Activity-Based Costing
BD37,Send Business Process Price,CO,Activity-Based Costing
BD40,Read change pointer for group,Basis,ALE Integration Technology
BD41,Dispatch IDocs for group,Basis,ALE Integration Technology
BD42,Check IDocs for group,Basis,ALE Integration Technology
BD43,Post IDocs for group,Basis,ALE Integration Technology
BD53,Reduction of Message Types,Basis,ALE Integration Technology
BD61,Activate Change Pointers - Generally,Basis,ALE Integration Technology
BD62,Define Segment Conversion Rule,Basis,ALE Integration Technology
BD63,Transport ALE Tables of Message Type,Basis,ALE Integration Technology
BD64,Maintenance of Distribution Model,Basis,ALE Integration Technology
BD70,Synchronize Number Ranges,Basis,ALE Integration Technology
BD72,Activate Events,Basis,ALE Integration Technology
BD73,Reposting of IDocs (ALE),Basis,ALE Integration Technology
BD75,Convert IDoc Status,Basis,ALE Integration Technology
BD77,Distribution of control data,Basis,ALE Integration Technology
BD78,Monitoring control data distribution,Basis,ALE Integration Technology
BD79,Maintain IDoc Conversion Rules,Basis,ALE Integration Technology
BD82,Generate Partner Profiles,Basis,ALE Integration Technology
BD83,Send IDocs after an ALE error,Basis,ALE Integration Technology
BD84,Post IDocs after ALE error,Basis,ALE Integration Technology
BD85,Consistency check for transfer,Cross Application,ALE Business Process Library
BD86,Consistency check for sales,Cross Application,ALE Business Process Library
BD87,Status Monitor for ALE Messages,Basis,ALE Integration Technology
BD89,Control data model. - initial screen,Basis,ALE Integration Technology
BD91,Send Characteristic,Cross Application,Classification
BD92,Send Class,Cross Application,Classification
BD93,Send Classification,Cross Application,Classification
BD97,Assign RFC dest. to Logical Systems,Basis,ALE Integration Technology
BD98,Consistency Check Workflow Connectn.,Basis,ALE Integration Technology
BDA1,Call RSARFCEX,Basis,ALE Integration Technology
BDA5,Distribute documents,Environment; Health and Safety,Product Safety
BDBG,Create ALE Interface for BAPI,Basis,ALE Integration Technology
BDBP,Hierarchy maintenance of BAPI param.,Basis,ALE Integration Technology
BDBR,Register BAPI for Data Transfer,Basis,Data Transfer Workbench
BDBS,Generate coding for mapping,Basis,ALE Integration Technology
BDC5,Consistency of Customizing Data,Basis,ALE Integration Technology
BDCP,Number Range Maintenance: ALE_CP,Basis,ALE Integration Technology
BDD5,Application Consistency Check,Cross Application,ALE Business Process Library
BDFDF,Request Fund,PSM,Master Data
BDFDS,Send fund,PSM,Master Data
BDFG,ALE Interfaces from Function Module,Basis,ALE Integration Technology
BDLR,Registration of transfer program,Basis,Data Transfer Workbench
BDLS,Convert Logical System Names,Basis,ALE Integration Technology
BDLSS,Conversion of Logical System Names,Basis,ALE Integration Technology
BDM2,Monitoring: IDocs in Receiving Sys.,Basis,ALE Integration Technology
BDM5,Technical Consistency Check,Basis,ALE Integration Technology
BDM6,Monitor: Check input workflow,Basis,ALE Integration Technology
BDM7,ALE Audit: statistical analyses,Basis,ALE Integration Technology
BDM8,ALE Audit: Sending the confirmations,Basis,ALE Integration Technology
BDM9,Reorganizing the audit database,Basis,ALE Integration Technology
BDMC,Upload info structures,PP,Sales Plan
BDMO,ALE CCMS Group Administration,Basis,ALE Integration Technology
BDR1,Display application log for recovery,Basis,ALE Integration Technology
BDR2,Reorganization of recovery data,Basis,ALE Integration Technology
BDRC,ALE: Determine Recovery Objects,Basis,ALE Integration Technology
BDRL,ALE: Process recovery objects,Basis,ALE Integration Technology
BDTP,Business Process- Maintain Templates,Basis,ALE Integration Technology
BDWE02,Call we02,Basis,ALE Integration Technology
BDXA,Distribution of Distribution Groups,Basis,ALE Integration Technology
BDXD,Import of ALE Requests,Basis,ALE Integration Technology
BDXE,Generation of ALE Requests,Basis,ALE Integration Technology
BDXI,Model Display (Specific),Basis,ALE Integration Technology
BDXJ,Maintenance of Distribution Groups,Basis,ALE Integration Technology
BDXK,Convert CONDAT Objects in Dist.Group,Basis,ALE Integration Technology
BDXL,Forward ALE Requests,Basis,ALE Integration Technology
BDXM,Analysis of Log Table,Basis,ALE Integration Technology
BDXN,Analyze Inbound Log Table,Basis,ALE Integration Technology
BDXQ,IMG Display of Distribution Groups,Basis,ALE Integration Technology
BERE,Business Event Repository,Cross Application,Basis-Related Help Functions; Appl. Log; Formula Intepreter
BERP,Business Processes,Cross Application,Basis-Related Help Functions; Appl. Log; Formula Intepreter
BERPC,Business Processes,ICM,Incentive and Commission Management (ICM)
BG00,Number Range Maintenance: BGMK_NR,PM,Warranties
BGM1,Create Master Warranty,PM,Warranties
BGM2,Change Master Warranty,PM,Warranties
BGM3,Display Master Warranty,PM,Warranties
BGM6,Warranty Entry for Technical Object,PM,Warranties
BGMN,Warranty Processing,PM,Warranties
BIBS,Examples of User Interface Design,Basis,Workbench Utilities
BIC,Transfer Bank Data from BIC Database,Cross Application,Bank
BKDR,Maintain transfer rules,Cross Application,Data Transfer
BKDS,Sender Structure Maintenance,Cross Application,Data Transfer
BM00,Batch Management,Logistics,Batches
BMBC,Batch Information Cockpit,Logistics,Batches
BMC1,Create Class (Class Type `BATCH`),Logistics,Batches
BMC2,Change Class (Class type `BATCH`),Logistics,Batches
BMC3,Display Class (Class Type `BATCH`),Logistics,Batches
BMCC,Integrity Check for Batch Classif.,Logistics,Batches
BMCHCL,Batch Class Conversion,Logistics,Batches
BMSM,Update the standard features,Logistics,Batches
BMV0,Manage Data Transfers,Basis,Utilities
BMVN,Number Range Maintenance: DI_JOBID,Basis,Utilities
BP,Maintain Business Partner,App. Platform,Dialog SAP-GUI
BP0,Business Partner; Initial Screen,App. Platform,Dialog SAP-GUI
BPB1,Evaluation of Business Partner/Roles,Cross Application,Business Partner Enhancements for Financial Services
BPB2,Evaluation of Business Parter Data,Fi Services,Business Partner
BPB4,Evaluation of Partner Relationships,Cross Application,Business Partner Enhancements for Financial Services
BPC1,Create Business Partner,Cross Application,Business Partner Enhancements for Financial Services
BPC2,Change Business Partner,Cross Application,Business Partner Enhancements for Financial Services
BPC3,Display Business Partner,Cross Application,Business Partner Enhancements for Financial Services
BPC4,Create Bus. Partner Using Reference,Cross Application,Business Partner Enhancements for Financial Services
BPC5,Change Business Partner - Copy,Cross Application,Business Partner Enhancements for Financial Services
BPCA,Partner:Change Documents - Addresses,Fi Services,Business Partner
BPCD,Business Partner: Change Documents,Fi Services,Business Partner
BPCF,TRGP: Change Documents,Cross Application,Business Partner Enhancements for Financial Services
BPCG,TRGP: Change Documents Addresses,Cross Application,Business Partner Enhancements for Financial Services
BPMD,Master Data Tab,Logistics,Customer Master
BPMDCS,Master Data Tab,Logistics,Customer Master
BPMDFI,Customer Company Code Master Data,Logistics,Customer Master
BPMDGD,Master Data Tab,Logistics,Customer Master
BPMDSD,Customer Company Code Master Data,Logistics,Customer Master
BRF,Business Rule Framework - Workbench,Basis,Business Rule Framework
BRFU01,BRF: Compare SAPscript Texts,Basis,Business Rule Framework
BS02,Maintain status profiles,Cross Application,General status management
BS03,Display status profiles,Cross Application,General status management
BS12,Maintain object types,Cross Application,General status management
BS13,Display object types,Cross Application,General status management
BS22,Maintain system status,Cross Application,General status management
BS23,Display system status,Cross Application,General status management
BS32,Maintain processes,Cross Application,General status management
BS33,Display processes,Cross Application,General status management
BSV1,Where-used list for transaction,Cross Application,General status management
BSV2,Where-used list for system status,Cross Application,General status management
BSV3,Where-used list for object type,Cross Application,General status management
BSV4,Status Profile Overview,Cross Application,General status management
BSVV,Parameterizable status workflow evnt,Cross Application,General Application Functions
BSVW,Linkage Status Update-Workflow Event,Cross Application,General Application Functions
BUA1,Create contact person,App. Platform,SAP Business Partner
BUA2,Change contact person,App. Platform,SAP Business Partner
BUA3,Display contact person,App. Platform,SAP Business Partner
BUB1,BuPR: Create BP relationship,App. Platform,SAP Business Partner
BUB2,BuPR: Change BP relationship,App. Platform,SAP Business Partner
BUB3,BuPR: Display BP relationship,App. Platform,SAP Business Partner
BUB4,BuPR: Create BP role definition,App. Platform,SAP Business Partner
BUB5,BuPR: Change BP role definition,App. Platform,SAP Business Partner
BUB6,BuPR: Display BP role definition,App. Platform,SAP Business Partner
BUB9,BuPR: No. range maintenance: BP rel.,App. Platform,SAP Business Partner
BUBD,BuPR: Applications,App. Platform,SAP Business Partner
BUBE,BuPR: Views,App. Platform,SAP Business Partner
BUBF,BuPR: Sections,App. Platform,SAP Business Partner
BUBG,BuPR: Screens,App. Platform,SAP Business Partner
BUBH,BuPR: Screen Seq. Variants,App. Platform,SAP Business Partner
BUBI,BuPR: Events,App. Platform,SAP Business Partner
BUBJ,BuPR: GUI Standard Functions,App. Platform,SAP Business Partner
BUBK,BuPR: GUI Additonal Functions,App. Platform,SAP Business Partner
BUBL,BuPR:Assgn Scr.Field->Database Field,App. Platform,SAP Business Partner
BUBM,BuPR: Tables,App. Platform,SAP Business Partner
BUBN,BuPR: Field Groups,App. Platform,SAP Business Partner
BUBO,BuPR: Field Grouping (Criteria),App. Platform,SAP Business Partner
BUBP,BuPR: Field Grping Using Rel. Cat.,App. Platform,SAP Business Partner
BUBQ,BuPR: Field Grp. Using Role Def.Cat.,App. Platform,SAP Business Partner
BUBR,BP: Field Grpg Via Activity (Cust),App. Platform,SAP Business Partner
BUBV,BP: Maintenance Without Dialog,App. Platform,SAP Business Partner
BUBW,BP: Generate Test File (DI),App. Platform,SAP Business Partner
BUBX,BP: Activities,App. Platform,SAP Business Partner
BUBY,BP: Field Grpg via Activity (Ctrl),App. Platform,SAP Business Partner
BUBZ,BP: External Applications,App. Platform,SAP Business Partner
BUCF,BP Cust: Number Ranges,App. Platform,SAP Business Partner
BUCG,BP Cust: BP Role Field Grouping,App. Platform,SAP Business Partner
BUCH,BP Cust: Field Grouping Activity,App. Platform,SAP Business Partner
BUCJ,BP Cust: Authorization Types,App. Platform,SAP Business Partner
BUCN,BP Cust: Field Grps f. Authorization,App. Platform,SAP Business Partner
BUCO,BP-Cust: Screen Configuration,App. Platform,SAP Business Partner
BUCP,BP-Cust: Fld.modif.exter.application,App. Platform,SAP Business Partner
BUCS,BP-Cust: Notes on Roles,App. Platform,SAP Business Partner
BUCU,BP Cust: Where-Used List,App. Platform,SAP Business Partner
BUCV,BP Cust. Field Grouping Appl.Object,App. Platform,SAP Business Partner
BUG1,Create Business Partner; General,App. Platform,SAP Business Partner
BUG2,Change Business Partner; General,App. Platform,SAP Business Partner
BUG3,Display Business Partner; General,App. Platform,SAP Business Partner
BUG4,Bus. partner general deletion flag,App. Platform,SAP Business Partner
BUI1,Create Prospect,App. Platform,SAP Business Partner
BUI2,Change Prospect,App. Platform,SAP Business Partner
BUI3,Display Prospect,App. Platform,SAP Business Partner
BUM1,Create Employee (BP),App. Platform,SAP Business Partner
BUM2,Change Employee (BP),App. Platform,SAP Business Partner
BUM3,Display Employee (BP),App. Platform,SAP Business Partner
BUMR,BP Relationships: Config. Menu,App. Platform,SAP Business Partner
BUNA,Number Range Maintenance: BP_PADRNR,App. Platform,SAP Business Partner
BUP0,BDT; Multiple Call (Funct. Grp BUSS),App. Platform,SAP Business Partner
BUP1,Create Business Partner,App. Platform,SAP Business Partner
BUP2,Change Business Partner,App. Platform,SAP Business Partner
BUP3,Display Business Partner,App. Platform,SAP Business Partner
BUPT,Business Partner Configuration Menu,App. Platform,SAP Business Partner
BUS1,BDT: Applications,App. Platform,SAP Business Partner
BUS10,BDT: Search Help,App. Platform,SAP Business Partner
BUS11,BDT: Assgn BAPI Field to Field Group,App. Platform,SAP Business Partner
BUS2,BDT: Field Groups,App. Platform,SAP Business Partner
BUS23,BP Tax: Data Sets,App. Platform,SAP Business Partner
BUS3,BDT: Views,App. Platform,SAP Business Partner
BUS4,BDT: Sections,App. Platform,SAP Business Partner
BUS5,BDT: Screens,App. Platform,SAP Business Partner
BUS6,BDT: Screen Sequences,App. Platform,SAP Business Partner
BUS7,BDT: Events,App. Platform,SAP Business Partner
BUS8,BDT: GUI Standard Functions,App. Platform,SAP Business Partner
